"","variables","corTest","AUCtest","species","method","repid"
"moose201526","moose2015",0.064,0.0924,"Ajuga_reptans","fda",2
"bio10_1626","bio10_16",0.2947,0.3732,"Ajuga_reptans","fda",2
"bio12_1626","bio12_16",0.0326,0.0072,"Ajuga_reptans","fda",2
"Forest_Type26","Forest_Type",0.1018,0.0068,"Ajuga_reptans","fda",2
"Forest_Productivity26","Forest_Productivity",0.292,0.1564,"Ajuga_reptans","fda",2
"SoilpH26","SoilpH",0.0114,0.0036,"Ajuga_reptans","fda",2
"roe_deer201527","roe_deer2015",0.0551,4e-04,"Ajuga_reptans","fda",3
"red_deer201527","red_deer2015",0.0145,0,"Ajuga_reptans","fda",3
"moose201527","moose2015",0.1166,0.1278,"Ajuga_reptans","fda",3
"bio10_1627","bio10_16",0.6237,0.2438,"Ajuga_reptans","fda",3
"bio12_1627","bio12_16",0.0225,0.0012,"Ajuga_reptans","fda",3
"Forest_Type27","Forest_Type",0.0268,0.0142,"Ajuga_reptans","fda",3
"Forest_Productivity27","Forest_Productivity",0.1529,0.1928,"Ajuga_reptans","fda",3
"SoilpH27","SoilpH",0.0076,0.0076,"Ajuga_reptans","fda",3
"roe_deer201528","roe_deer2015",0.008,0.0076,"Ajuga_reptans","fda",4
"red_deer201528","red_deer2015",0.0016,0.001,"Ajuga_reptans","fda",4
"moose201528","moose2015",0.1505,0.0608,"Ajuga_reptans","fda",4
"bio10_1628","bio10_16",0.6493,0.4988,"Ajuga_reptans","fda",4
"bio12_1628","bio12_16",0.0247,0,"Ajuga_reptans","fda",4
"Forest_Type28","Forest_Type",0.0288,0.0016,"Ajuga_reptans","fda",4
"Forest_Productivity28","Forest_Productivity",0.2405,0.1648,"Ajuga_reptans","fda",4
"SoilpH28","SoilpH",1e-04,6e-04,"Ajuga_reptans","fda",4
"roe_deer201529","roe_deer2015",0.1981,0.0484,"Ajuga_reptans","fda",5
"red_deer201529","red_deer2015",7e-04,2e-04,"Ajuga_reptans","fda",5
"moose201529","moose2015",0.0927,0.037,"Ajuga_reptans","fda",5
"bio10_1629","bio10_16",0.3669,0.4002,"Ajuga_reptans","fda",5
"bio12_1629","bio12_16",0.0174,0.0138,"Ajuga_reptans","fda",5
"Forest_Type29","Forest_Type",0.0154,0,"Ajuga_reptans","fda",5
"Forest_Productivity29","Forest_Productivity",0.5316,0.1148,"Ajuga_reptans","fda",5
"SoilpH29","SoilpH",0.0029,8e-04,"Ajuga_reptans","fda",5
"roe_deer201530","roe_deer2015",0.0801,0.0232,"Anastrophyllum_donnianum","glm",1
"red_deer201530","red_deer2015",0.0194,0.002,"Anastrophyllum_donnianum","glm",1
"moose201530","moose2015",0.6198,0.677,"Anastrophyllum_donnianum","glm",1
"bio10_1630","bio10_16",0.0614,0.0258,"Anastrophyllum_donnianum","glm",1
"bio12_1630","bio12_16",0.0501,0.0182,"Anastrophyllum_donnianum","glm",1
"Forest_Type30","Forest_Type",0.0352,0.0184,"Anastrophyllum_donnianum","glm",1
"Forest_Productivity30","Forest_Productivity",0.175,0.136,"Anastrophyllum_donnianum","glm",1
"SoilpH30","SoilpH",0.0069,0.0052,"Anastrophyllum_donnianum","glm",1
"roe_deer201531","roe_deer2015",0.0449,0.007,"Anastrophyllum_donnianum","glm",2
"red_deer201531","red_deer2015",0.077,0,"Anastrophyllum_donnianum","glm",2
"moose201531","moose2015",0.6494,0.5322,"Anastrophyllum_donnianum","glm",2
"bio10_1631","bio10_16",0.0766,0.0126,"Anastrophyllum_donnianum","glm",2
"bio12_1631","bio12_16",0.1353,0.0114,"Anastrophyllum_donnianum","glm",2
